TITOLO,PUNTEGGIO,CONSIGLIATO,GENERE,PAESI,ANNO,"DURATA
(MINUTI)",TRAMA,REGIA,CAST,CINEMA,ORARIO
GILDA,"4,31",ASSOLUTAMENTE SI,"Drammatico, Noir, Sentimentale",USA,1946,110,Capolavoro con un'inimitabile Rita Hayworth,Charles Vidor,"Rita Hayworth, Glenn Ford, George Macready, Joseph Calleia, Steven Geray",Arena al Corviale,21:15
VACANZE ROMANE,"4,05",ASSOLUTAMENTE SI,Commedia,USA,1953,119,"La sobrietà di Wyler per un'avventura romantica indimenticabile, dove il valore di un attimo vale più di qualunque happy ending",William Wyler,"Gregory Peck, Eddie Albert, Audrey Hepburn, Harcourt Williams",CINEMA Arena al Maxxi,21:00
COME ERAVAMO,"3,99",ASSOLUTAMENTE SI,Commedia,USA,1973,118,N.D.,Sydney Pollack,"Robert Redford, Barbra Streisand, Viveca Lindfors, Bradford Dillman, Lois Chiles",Arena di Santa Maria della Pietà,21:15
RITORNO AL FUTURO,"3,86",ASSOLUTAMENTE SI,"Avventura, Commedia",USA,1985,116,Una commedia cult innervata dalla fantascienza che ci ricorda come la tecnologia compia periodicamente dei ritorni al futuro,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover",Arena Meda - Oasi Urbana,21:00
LUPIN III - IL CASTELLO DI CAGLIOSTRO,"3,84",SI,Animazione,Giappone,1979,100,"Miyazaki entusiasma, diverte e stupisce con il contributo di una sceneggiatura brillante e ben bilanciata",Hayao Miyazaki,"Eiko Masuyama, Gorô Naya, Kiyoshi Kobayashi, Makio Inoue",CINEMA Madison,"15:00, 21:35"
HAMNET - NEL NOME DEL FIGLIO,"3,81",SI,Drammatico,USA,2025,125,"Un film di fantasmi, di morti e rinascite. L'energia potentemente femminile della regista sa affrontare un dolore lancinante con coraggio ed empatia","Drammatico, USA, 2025",N.D.,Cinevillage Parco Tevere Marconi,21:30
TOY STORY 5,"3,78",SI,"Animazione, Avventura, Commedia","USA, Giappone",2026,102,"Il quinto capitolo rispetta i topos e i personaggi della saga, affrontando le più grandi paure dei bambini: l'abbandono e la solitudine","Andrew Stanton, McKenna Harris","Angelo Maggi, Massimo Dapporto, Ilaria Stagni, Katia Follesa","CINEMA Adriano
CINEMA Andromeda
CINEMA Atlantic
CINEMA Barberini
CINEMA Broadway
CINEMA Cineland
Eurcine Multisala
CINEMA Jolly
CINEMA Madison
CINEMA Multisala Lux
Multisala Odeon
The Screen Cinemas Roma Ottavia
The Space Moderno
The Space Parco de Medici
CINEMA Trianon
Uci Cinemas Parco Leonardo
Uci Cinemas Porta di Roma
Uci Cinemas Roma Est
Uci Luce Maximo","15:00, 17:20, 19:30, 21:40
17:20, 18:20, 19:20, 21:20
15:00, 17:10, 19:20, 21:30
VO: 14:15
15:20
16:20, 18:30, 20:40
17:00
17:20
15:15, 17:00, 19:00, 21:00
16:00, 18:00, 20:00
16:00, 18:00, 20:00
19:20
14:00
14:10, 14:40, 17:50, 19:20
16:00, 17:00, 19:00
14:40, 16:10, 17:10, 20:10
11:30, 13:20, 14:40, 15:50, 17:00, 20:10
14:40, 17:10, 20:10
11:20, 13:50, 16:30"
STILL WALKING - CAMMINANDO IN UN GIORNO D'ESTATE,"3,77",SI,Drammatico,Giappone,2008,114,Il punto più alto di un cinema che ha sempre cercato di raccontare i legami invisibili che uniscono le persone,Kore'eda Hirokazu,"You, Hiroshi Abe, Yoshio Harada, Ryôga Hayashi","CINEMA Greenwich
CINEMA Mignon","VO: 18:15
16:30, 18:45"
NINO,"3,73",SI,Drammatico,Francia,2025,96,Un esordio ricco di sfumature e di sottili trovate narrative. Una piccola opera che contiene moltitudini,Pauline Loquès,"Théodore Pellerin, Jeanne Balibar, William Lebghil, Salomé Dewaels",Azzurro Scipioni,19:00
UN SEMPLICE INCIDENTE,"3,73",SI,Drammatico,"Iran, Francia, Lussemburgo",2025,101,Un film in cui la denuncia si fa durissima anche quando sceglie la strada dell'ironia,Jafar Panahi,"Vahid Mobasseri, Mariam Afshari, Ebrahim Azizi, Hadis Pakbaten","Arena Nuovo Sacher
CINEMA Nuovo Sacher","21:30
21:30"
MOULIN ROUGE,"3,71",SI,Musical,Australia,2001,130,Un musical strabordante di idee e di colori. Con la vincente coppia Kidman-McGregor,Baz Luhrmann,"Nicole Kidman, Ewan McGregor, John Leguizamo, Jim Broadbent",Arena Parco delle Mura Aureliane,21:00
IL CASO 137,"3,70",SI,Thriller,Francia,2025,115,La polarizzazione tra polizia e società civile in un film che mantiene la purezza narrativa rifiutando ogni faziosità,Dominik Moll,"Léa Drucker, Jonathan Turnbull, Solan Machado Graner, Sandra Colombo",Azzurro Scipioni,21:00
L'HANGAR ROSSO,"3,70",SI,Drammatico,"Italia, Cile",2026,83,"Un ottimo thriller dall'eleganza concisa. Il racconto degli Anni Settanta in Cile, intriso delle preoccupazioni del presente",Juan Pablo Sallato,"Nicolás Zárate, Boris Quercia, Marcial Tagle, Catalina Stuardo","CINEMA Barberini
CINEMA Cineland
CINEMA Eden
Eurcine Multisala
CINEMA Giulio Cesare
CINEMA Greenwich
Nuovo Cinema Aquila
Uci Cinemas Porta di Roma","VO: 16:10
20:30
16:30, 18:45, 21:15
17:00, 19:00
17:30, 19:15 | VO: 21:00
16:30 | VO: 20:30
VO: 19:00, 21:00
14:30"
THE LIFE OF CHUCK,"3,70",SI,"Drammatico, Fantasy",USA,2024,110,La storia di uno come noi. Raccontata con un mix sapiente di malinconia e leggerezza,Mike Flanagan,"Tom Hiddleston, Chiwetel Ejiofor, Karen Gillan, Mark Hamill",Arena Garbatella,21:15
AFTER LIFE - QUAL È IL TUO RICORDO PIÙ BELLO?,"3,67",SI,Drammatico,Giappone,1998,118,"L'indagine sull'uomo di Kore-eda sconfina nell'aldilà, in una riflessione originale sul significato dell'esistenza",Kore'eda Hirokazu,"Arata, Erika Oda, Susumu Terajima, Takashi Naitô","CINEMA Giulio Cesare
CINEMA Mignon
Quattro Fontane","16:30, 18:45 | VO: 21:00
19:00, 21:15
18:45 | VO: 21:00"
