TITOLO,PUNTEGGIO,CONSIGLIATO,GENERE,PAESI,ANNO,"DURATA
(MINUTI)",TRAMA,REGIA,CAST,CINEMA,ORARIO
UN GIORNO SENZA DONNE,"4,25",ASSOLUTAMENTE SI,Documentario,"Islanda, USA",2024,70,"Tra cronaca e storia, la rievocazione sentita dello storico sciopero che nel 1975 fermò l'Islanda",Pamela Hogan,Vigdís Finnbogadóttir,"CINEMA Dei Piccoli
Delle Provincie
CINEMA Farnese","VO: 20:10, 21:30
VO: 16:00
VO: 16:00, 19:15"
NOUVELLE VAGUE,"3,92",ASSOLUTAMENTE SI,"Commedia, Biografico, Drammatico",Francia,2025,106,"Il racconto appassionato e appassionante della realizzazione di Fino all'ultimo respiro, film-simbolo della nouvelle vague",Richard Linklater,"Guillaume Marbeck, Zoey Deutch, Aubry Dullin, Alix Bénézech",Delle Provincie,17:30
ODISSEA,"3,80",SI,"Avventura, Drammatico, Fantasy","USA, Gran Bretagna",2026,172,L'epica si fa cinema. Nolan rilegge l'Odissea e ci illumina con messaggi pacifisti e femministi,Christopher Nolan,"Matt Damon, Tom Holland, Anne Hathaway, Robert Pattinson","CINEMA Adriano
CINEMA Andromeda
CINEMA Antares
CINEMA Atlantic
CINEMA Barberini
CINEMA Cineland
CINEMA Doria
Eurcine Multisala
CINEMA Farnese
CINEMA Giulio Cesare
CINEMA Jolly
CINEMA Madison
CINEMA Multisala Lux
Multisala Odeon
Quattro Fontane
CINEMA Savoy
The Screen Cinemas Roma Ottavia
The Space Moderno
The Space Parco de Medici
CINEMA Trianon
Uci Cinemas Parco Leonardo
Uci Cinemas Porta di Roma
Uci Cinemas Roma Est
Uci Luce Maximo","15:00, 17:20, 20:40
20:00
16:30, 20:00
17:40, 21:00
16:45, 18:30 | VO: 14:30, 18:45, 21:45
16:45, 20:00
17:00
17:15, 20:45
20:30
VO: 20:45
21:30
17:45, 20:45
16:30, 18:15, 20:00, 21:30
18:15, 21:30
VO: 17:15, 20:45
17:00, 20:30
21:00
15:10, 20:50
14:30, 14:35, 16:20, 17:50, 19:50, 21:05, 22:15
17:00, 20:00
16:40, 17:40, 19:40, 21:15
10:30, 13:30, 14:20, 17:10, 20:45, 22:00
14:00, 17:40, 20:00, 21:30
10:00, 13:15, 19:30, 21:10"
COYOTE VS. ACME,"3,79",SI,"Animazione, Avventura, Commedia",USA,2026,103,"Un legal drama dell'assurdo, un'opera contro l'impunità delle grandi aziende",Dave Green,"John Cena, Lana Condor, Will Forte, P.J. Byrne","CINEMA Adriano
CINEMA Andromeda
CINEMA Atlantic
CINEMA Broadway
CINEMA Cineland
CINEMA Dei Piccoli
Eurcine Multisala
CINEMA FCE Majestic
CINEMA Giulio Cesare
CINEMA Jolly
CINEMA Madison
CINEMA Multisala Lux
Multisala Odeon
The Screen Cinemas Roma Ottavia
The Space Moderno
The Space Parco de Medici
Uci Cinemas Parco Leonardo
Uci Cinemas Porta di Roma
Uci Cinemas Roma Est
Uci Luce Maximo","15:40, 18:00, 20:30, 22:45
16:45, 19:15, 21:15
15:30, 17:50, 20:20
15:10, 21:00
16:00, 18:10, 20:30
16:25, 18:15
16:30, 18:45
15:20, 18:05
16:15, 18:30
17:30, 19:30
15:30, 17:30, 19:30, 21:30
16:00, 18:10, 20:20 | VO: 22:30
16:30, 18:45, 21:00
16:00, 18:25, 21:40
16:20, 18:55, 21:10
14:50, 16:55, 19:05, 21:00, 22:30, 23:30
17:10, 18:50, 19:45, 22:15
11:10, 14:30, 16:20, 17:00, 19:30, 20:00, 22:00, 22:30, 23:50
14:30, 15:30, 16:30, 17:00, 19:20, 21:10, 22:00, 23:20
10:40, 13:30, 16:00, 17:40, 18:50, 22:15"
TERMINATOR 2 - IL GIORNO DEL GIUDIZIO,"3,76",SI,Fantascienza,USA,1991,135,"Una pietra miliare, non solo del cinema action: visionario, spettacolare e profondamente umanista",James Cameron,"Arnold Schwarzenegger, Edward Furlong, Linda Hamilton, Robert Patrick",CINEMA Troisi,VO: 14:00
SILENT FRIEND,"3,75",SI,Drammatico,"Germania, Francia, Ungheria",2025,145,Una sfida vinta: Enyedi affronta con originalità l'impresa di relazionare esseri umani con il mondo vegetale,Ildikó Enyedi,"Tony Chiu-Wai Leung, Luna Wedler, Enzo Brumm, Léa Seydoux","CINEMA Eden
CINEMA Farnese
CINEMA Mignon
CINEMA Troisi","15:30
16:00, 18:30 | VO: 21:00
16:15 | VO: 21:15
VO: 21:30"
TRAINSPOTTING,"3,73",SI,Drammatico,Gran Bretagna,1996,115,Un esercizio di stile diventato un cult che ritrae una generazione senza ideali,Danny Boyle,"Ewan McGregor, Robert Carlyle, Ewen Bremner, Kelly MacDonald",Cineclub Alphaville,VO: 21:00
"CAMP MIASMA - ADOLESCENZA, SESSO E MORTE","3,68",SI,Horror,"USA, Gran Bretagna, Canada",2026,106,Una rilettura in chiave gender dell'horror degli anni '80 e '90. Con un attualissimo sguardo sulla contemporaneità,Jane Schoenbrun,"Gillian Anderson, Hannah Einbinder, Patrick Fischler, Jack Haven","Nuovo Cinema Aquila
Quattro Fontane","18:30 | VO: 21:00
VO: 20:45"
RAYA E L'ULTIMO DRAGO,"3,68",SI,"Animazione, Avventura, Commedia",USA,2021,N.D.,Un classico Disney che si adatta allo spirito del tempo e intercetta lo spirito fosco dell'era pandemica,"Don Hall (II), Carlos López Estrada","Awkwafina, Cassie Steele",Arena Parco dei Tricicli,20:00
FUORI,"3,66",SI,Drammatico,"Italia, Francia",2025,115,Un film che nel suo apparente disordine sa mostrare l'animo femminile in tutta la sua complessità. Magistrale Valeria Golino,Mario Martone,"Valeria Golino, Matilda De Angelis, Elodie, Corrado Fortuna",Cinevillage Piazza Vittorio,21:00
DJANGO,"3,57",SI,Western,"Italia, Spagna",1966,87,Un film originale che ha reso famoso Sergio Corbucci. Ispirando anche Tarantino,Sergio Corbucci,"Franco Nero, Loredana Nusciak, José Badalo, Angel Alvarez",CINEMA Troisi,VO: 00:30
THE ECHO CHAMBER,"3,57",SI,Drammatico,Italia,2026,120,Ghost story e love story che prende la forma di un rituale doloroso di rara eleganza,Andrea Pallaoro,"Luca Marinelli, Alicia Vikander, Susan Sarandon, Ann Akin","CINEMA Alhambra
CINEMA Caravaggio
CINEMA Cineland
CINEMA Eden
Eurcine Multisala
CINEMA FCE Majestic
CINEMA Giulio Cesare
CINEMA Greenwich
CINEMA Madison
CINEMA Multisala Lux
Multisala Odeon
Quattro Fontane
CINEMA Tibur","16:30, 18:40, 20:45
16:00, 18:15, 20:30
15:45, 18:10, 21:00
15:30, 17:00, 18:30, 21:15
16:00, 18:30, 21:00
17:20, 22:45 | VO: 20:05
VO: 16:30, 19:00, 21:31
16:30 | VO: 18:50, 21:15
14:50, 17:00, 19:15, 21:30
16:00, 18:30, 21:00
16:00, 18:30, 21:00
VO: 16:15, 18:45, 21:15
16:30, 19:00, 21:30"
GIOIA MIA,"3,49",SI,Drammatico,Italia,2025,90,Un film semplice e nostalgico che guarda alla proverbiale estate italiana che forse non esiste più,Margherita Spampinato,"Marco Fiore, Aurora Quattrocchi, Martina Ziami, Camille Dugay Comencini",Arena Garbatella,21:15
SERPENTI,"3,42",SI,Drammatico,Italia,2026,88,"Un'opera efficace che, nella cifra del grottesco, crea un ribaltamento. E va dritto al cuore delle cose",Roberto De Paolis,"Leonardo Lidi, Alessandro Borghi, Pietro Castellitto, Valeria Golino","CINEMA Cineland
CINEMA Eden
Eurcine Multisala
CINEMA Giulio Cesare
CINEMA Greenwich
CINEMA Mignon
CINEMA Tibur","18:30, 20:50
15:10, 17:10, 19:10, 21:10
17:00, 19:00, 21:00
17:00, 19:00, 21:00
17:00, 19:00, 21:00
16:45, 18:45, 20:45
16:15, 20:00, 21:45"
SPIDER-MAN - BRAND NEW DAY,"3,42",SI,"Azione, Avventura, Fantasy",USA,2026,145,"Cinema di formazione, iperbolico nella forma ma umano nella sostanza",Destin Daniel Cretton,"Tom Holland, Zendaya, Sadie Sink, Jacob Batalon","CINEMA Adriano
CINEMA Andromeda
CINEMA Atlantic
CINEMA Barberini
CINEMA Cineland
CINEMA Multisala Lux
Teatro Don Bosco
The Screen Cinemas Roma Ottavia
The Space Moderno
The Space Parco de Medici
CINEMA Trianon
Uci Cinemas Parco Leonardo
Uci Cinemas Porta di Roma
Uci Cinemas Roma Est
Uci Luce Maximo","15:30, 18:30, 21:30
21:15
15:00, 18:40, 21:30
VO: 14:30, 17:30, 19:30, 21:30
18:20
16:30, 19:15, 22:00
18:00
18:10
21:50
14:20, 17:05, 19:35, 21:00, 22:50
18:30, 21:15
18:00, 22:20
16:30, 19:00, 22:10
16:10, 19:30, 22:10
10:30, 13:50, 16:50"
A CENA CON IL DITTATORE,"3,40",SI,"Commedia, Drammatico, Storico","Spagna, Francia",2025,106,Un film dal deciso affondo politico. Un cinema vecchia scuola che è sempre un piacere da guardare,Manuel Gómez Pereira,"Mario Casas, Alberto San Juan, Asier Etxeandia, Oscar Lasarte","CINEMA Arena Tiziano
CINEMA Tiziano","21:00
21:00"
TONY - DIARIO DI UN GIOVANE CUOCO,"3,40",SI,"Biografico, Commedia, Drammatico",USA,2026,106,Un coming of age ironico e anticonvenzionale. Un'ode stravagante a tutte le persone fuori dal comune,Matt Johnson,"Dominic Sessa, Antonio Banderas, Leo Woodall, Emilia Jones","CINEMA Barberini
CINEMA Eden
Eurcine Multisala
CINEMA Madison
CINEMA Multisala Lux","VO: 14:30, 17:30, 19:30, 21:30
15:00, 17:10, 19:20, 21:30
17:00, 21:00
21:30
16:00"
UN CRIMINE IMPERFETTO,"3,40",SI,"Commedia, Thriller","Francia, Belgio",2024,109,Un'incalzante commedia nera francese dallo spirito coeniano,Franck Dubosc,"Franck Dubosc, Laure Calamy, Benoît Poelvoorde, Joséphine de Meaux",Arena Nuovo Sacher,VO: 20:45
LE CITTÀ DI PIANURA,"3,39",SI,Drammatico,"Italia, Germania",2025,100,Un road movie che riesce a raccontare un'Italia vera con una sua energia lenta e sul finale commovente,Francesco Sossai,"Filippo Scotti, Sergio Romano, Pierpaolo Capovilla, Roberto Citran","Eurcine Multisala
CINEMA Giulio Cesare
CINEMA Mignon","21:15
21:00
19:15"
WALL STREET,"3,39",SI,Drammatico,USA,1987,126,Un film sentito che tocca corde personali e argomenti che Stone conosce e sviluppa con sapienza,Oliver Stone,"Michael Douglas, Daryl Hannah, Charlie Sheen, Martin Sheen, Frank Adonis",Casa del Cinema,18:00
MINIONS & MONSTERS,"3,37",SI,Animazione,USA,2026,90,Un'avventura godibile - e una bella lettera d'amore per il cinema - che mantiene viva la natura surreale dei piccoli protagonisti,"Pierre Coffin, Patrick Delage","Marcello Macchia, Pierre Coffin, Romesh Ranganathan, Zoey Deutch",CINEMA Madison,"15:45, 17:30, 19:30"
TRE REGOLE INFALLIBILI,"3,35",SI,Commedia,Italia,2025,101,Un'apprezzabile opera prima sulle difficoltà relazionali. Ma con qualche trovata sbrigativa,Marco Gianfreda,"Cristiana Dell'Anna, Matteo Olivetti, Guglielmo Aquaro, Emmanuele Aita",Delle Provincie,20:00
IL TERZO OMICIDIO,"3,34",SI,Thriller,Giappone,2017,125,Kore-Eda prosegue la sua personale indagine sull’animo delle persone quando si trovano dinanzi a una svolta della loro vita,Kore'eda Hirokazu,"Masaharu Fukuyama, Kôji Yakusho, Suzu Hirose, Mikako Ichikawa, Yuki Saitô",Nuovo Cinema Aquila,16:00
TRAIN TO BUSAN,"3,34",SI,Drammatico,Corea del sud,2016,118,Un film che funziona su più livelli: non solo come puro intrattenimento ma anche come risultato di una profonda riflessione sociologica sulla Corea,Sang-ho Yeon,"Gong Yoo, Dong-seok Ma, Jung Yu-mi, Choi Woo-Sik","CINEMA Giulio Cesare
Nuovo Cinema Aquila
Quattro Fontane
The Space Parco de Medici","VO: 16:15, 18:45, 21:15
VO: 18:30
VO: 16:00, 18:30, 21:00
16:15"
IL FILO DEL RICATTO - DEAD MAN'S WIRE,"3,31",SI,"Drammatico, Storico",USA,2025,102,"Un film teso come un cavo, sul confine tra vittime e carnefici e sui risvolti nascosti della cronaca che nutre i tabloid",Gus Van Sant,"Bill Skarsgård, Dacre Montgomery, Al Pacino, Colman Domingo",CINEMA Tiziano,20:30
KETTICÈ,"3,31",SI,Commedia,Italia,2026,107,Un adolescente in cerca di senso all'interno di un mondo programmaticamente insensato,Giovanni Tortorici,"Salvatore Gallina, Rachele Testagrossa, Monica Bellucci, Tommaso Cristiano Wirz","CINEMA Adriano
CINEMA Troisi","20:00
19:30"
IL CILENO,"3,28",SI,"Biografico, Drammatico, Storico","Svizzera, Cile, Italia",2026,100,Un film in cui i meccanismi del genere thriller sono tutti al posto giusto,Sergio Castro San Martín,"Camilo Arancibia, Sara Serraiocco, Andrew Bargsted, Gaetano Bruno","Quattro Fontane
CINEMA Tibur","16:15, 18:30
18:00"
SHEEP IN THE BOX,"3,27",SI,Drammatico,Giappone,2026,126,L'intelligenza artificiale come strumento per lenire i nostri problemi. Un'opera sul nostro immediato futuro,Kore'eda Hirokazu,"Haruka Ayase, Daigo Yamamoto (II), Kuwaki Rimu, Nana Seino","CINEMA Eden
CINEMA Giulio Cesare
CINEMA Greenwich
Quattro Fontane","18:20, 21:00
VO: 16:00, 18:30
16:15 | VO: 20:45
VO: 16:00, 18:30, 21:15"
OBSESSION,"3,15",SI,Horror,USA,2026,108,La conferma del talento dell'astro nascente Curry Barker,Curry Barker,"Michael Johnston (II), Inde Navarrette, Cooper Tomlinson, Megan Lawless","CINEMA Madison
The Space Parco de Medici
Uci Cinemas Parco Leonardo
Uci Cinemas Porta di Roma
Uci Cinemas Roma Est
Uci Luce Maximo","21:30
22:20
20:00, 22:40
18:50, 22:30
23:00
23:15"
IL DELITTO DEL 3° PIANO,"3,09",SI,Commedia,Francia,2026,106,Una godibile e divertente ricostruzione de La finestra sul cortile. Con una scatenata Laetitia Casta,Rémi Bezançon,"Guillaume Gallienne, Laetitia Casta, Gilles Lellouche, Isabel Aimé González-Sola",CINEMA Arena Tiziano,21:00
LA FINE DI OAK STREET,"3,09",SI,Thriller,USA,2025,100,Provare a cambiare le regole del gioco per dire qualcosa di straordinario,David Robert Mitchell,"Anne Hathaway, Ewan McGregor, P.J. Byrne, Pilot Bunch",The Space Parco de Medici,23:00
DIVINE COMEDY,"3,08",SI,Commedia,"Iran, Italia, Francia, Germania, Turchia",2025,98,Un film che affonda il coltello nelle piaghe che la società iraniana non riesce a sanare,Ali Asgari,"Bahram Ark, Sadaf Asgari, Bahman Ark, Faezeh Rad",CINEMA Tiziano,18:30
COUTURE,"2,97",SI,Drammatico,"USA, Francia",2025,106,Tre donne e tre vite da cucire o da riparare. Una prova significativa e apprezzabile di sguardo femminile,Alice Winocour,"Angelina Jolie, Anyier Anei, Louis Garrel, Ella Rumpf","CINEMA Doria
CINEMA Savoy
CINEMA Tiziano","21:00
16:30, 18:30, 21:30
16:30"
