TITOLO,PUNTEGGIO,CONSIGLIATO,GENERE,PAESI,ANNO,"DURATA
(MINUTI)",TRAMA,REGIA,CAST,CINEMA,ORARIO
M - IL MOSTRO DI DÜSSELDORF,"4,59",ASSOLUTAMENTE SI,Drammatico,Germania,1931,117,Un capolavoro la cui inquietudine risuona anche a un secolo di distanza,Fritz Lang,"Peter Lorre, Gustaf Gründgens, Rudolf Blummer, Ellen Widman",Quattro Fontane,"VO: 16:30, 18:45, 21:00"
UN GIORNO SENZA DONNE,"4,25",ASSOLUTAMENTE SI,Documentario,"Islanda, USA",2024,70,"Tra cronaca e storia, la rievocazione sentita dello storico sciopero che nel 1975 fermò l'Islanda",Pamela Hogan,Vigdís Finnbogadóttir,"CINEMA Dei Piccoli
Delle Provincie
CINEMA Farnese","VO: 20:10, 21:30
VO: 16:00
VO: 16:00, 20:00"
GOMORRA,"3,90",ASSOLUTAMENTE SI,Drammatico,Italia,2008,135,"Crudo e angosciante, ripreso dal vero e musicato dalle grida e dagli spari di Scampia",Matteo Garrone,"Toni Servillo, Gianfelice Imparato, Maria Nazionale, Salvatore Cantalupo, Gigio Morra",Palazzo San Lorenzo,17:30
YES,"3,88",ASSOLUTAMENTE SI,Drammatico,"Francia, Cipro, Germania, Israele",2025,150,Film mostro che si interroga sulla posizione dell'artista in tempo di guerra quando l'ignoranza diventa un crimine,Nadav Lapid,"Ariel Bronz, Efrat Dor, Sharon Alexander, Pablo Pillaud-Vivien",CINEMA Troisi,VO: 18:00
ODISSEA,"3,80",SI,"Avventura, Drammatico, Fantasy","USA, Gran Bretagna",2026,172,L'epica si fa cinema. Nolan rilegge l'Odissea e ci illumina con messaggi pacifisti e femministi,Christopher Nolan,"Matt Damon, Tom Holland, Anne Hathaway, Robert Pattinson","CINEMA Adriano
CINEMA Andromeda
CINEMA Antares
CINEMA Atlantic
CINEMA Barberini
CINEMA Cineland
CINEMA Doria
Eurcine Multisala
CINEMA Farnese
CINEMA Giulio Cesare
CINEMA Jolly
CINEMA Madison
CINEMA Multisala Lux
Multisala Odeon
Quattro Fontane
CINEMA Savoy
The Screen Cinemas Roma Ottavia
The Space Moderno
The Space Parco de Medici
CINEMA Trianon
Uci Cinemas Parco Leonardo
Uci Cinemas Porta di Roma
Uci Cinemas Roma Est
Uci Luce Maximo","15:00, 17:20, 20:40
20:00
16:30, 20:00
17:40, 21:00
14:30, 21:00
16:45, 20:00
17:00
16:00, 20:45
VO: 18:00
VO: 20:45
21:30
17:45, 20:45
16:30, 18:15, 20:00
21:00
VO: 17:15, 20:45
17:00, 20:30
20:30
18:15, 20:55
15:15, 16:30, 17:25, 17:55, 20:10, 21:05
17:00, 20:00
17:40, 19:40, 21:15
14:20, 17:10, 20:45, 22:00
14:00, 17:40, 20:00, 21:30
16:30, 19:40, 21:40"
COYOTE VS. ACME,"3,78",SI,"Animazione, Avventura, Commedia",USA,2026,103,"Un legal drama dell'assurdo, un'opera contro l'impunità delle grandi aziende",Dave Green,"John Cena, Lana Condor, Will Forte, P.J. Byrne","CINEMA Adriano
CINEMA Andromeda
CINEMA Atlantic
CINEMA Broadway
CINEMA Cineland
CINEMA Dei Piccoli
Eurcine Multisala
CINEMA Giulio Cesare
CINEMA Jolly
CINEMA Madison
CINEMA Multisala Lux
Multisala Odeon
Palazzo San Lorenzo
The Screen Cinemas Roma Ottavia
The Space Moderno
The Space Parco de Medici
Uci Cinemas Parco Leonardo
Uci Cinemas Porta di Roma
Uci Cinemas Roma Est
Uci Luce Maximo","15:40, 18:00, 20:30
16:45, 19:00
15:00, 17:05, 21:40
15:10, 18:30, 21:00
16:00, 18:10, 20:30
16:25, 18:15
16:15, 18:30, 21:00
16:00
17:30, 19:30
15:30, 17:30, 19:30, 21:30
16:00, 18:10, 20:20 | VO: 22:30
16:30, 18:45, 21:00
VO: 22:00
17:15, 19:35, 21:30
15:15, 18:35, 21:10
14:40, 15:20, 16:05, 18:10, 20:00, 21:10, 22:15
17:10, 18:50, 19:45, 21:10, 22:15
14:30, 16:20, 17:00, 19:20, 22:00, 22:30
14:30, 15:30, 16:30, 17:00, 19:20, 21:45
16:00, 19:10"
SILENT FRIEND,"3,75",SI,Drammatico,"Germania, Francia, Ungheria",2025,145,Una sfida vinta: Enyedi affronta con originalità l'impresa di relazionare esseri umani con il mondo vegetale,Ildikó Enyedi,"Tony Chiu-Wai Leung, Luna Wedler, Enzo Brumm, Léa Seydoux","CINEMA Farnese
CINEMA Mignon
CINEMA Troisi","17:15 | VO: 21:00
16:15 | VO: 21:15
VO: 15:00"
BATMAN,"3,72",SI,Fantastico,USA,1989,126,"Un film imperfetto, che lanciò Burton tra i grandi di Hollywood",Tim Burton,"Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl","CINEMA Adriano
CINEMA Andromeda
CINEMA Atlantic
CINEMA Barberini
CINEMA Multisala Lux
The Space Moderno
The Space Parco de Medici
Uci Cinemas Parco Leonardo
Uci Cinemas Porta di Roma
Uci Cinemas Roma Est
Uci Luce Maximo","VO: 21:40
16:50, 19:10, 21:20
21:20
VO: 14:30, 16:45, 19:00
20:30 | VO: 21:30
20:30
20:35
18:20, 21:10
18:20, 21:10
19:50, 21:10
21:10"
PALESTINA 36 - QUANDO TUTTO EBBE INIZIO,"3,50",SI,"Drammatico, Guerra, Storico","Regno Unito, Qatar",2025,119,"Un'opera - a tratti brutale - sulla rivolta araba del '36. Un film di ampio respiro, dalla natura corale e capace di abbracciare molti punti di vista","Drammatico, Guerra, Storico, Regno Unito, Qatar, 2025",N.D.,"CINEMA Alhambra
CINEMA Barberini
CINEMA Giulio Cesare
CINEMA Greenwich
Nuovo Cinema Aquila","16:30, 18:40, 20:45
14:30, 17:15, 18:45
VO: 16:00, 18:30, 21:00
15:30, 19:15 | VO: 21:30
16:00 | VO: 21:00"
GIOIA MIA,"3,49",SI,Drammatico,Italia,2025,90,Un film semplice e nostalgico che guarda alla proverbiale estate italiana che forse non esiste più,Margherita Spampinato,"Marco Fiore, Aurora Quattrocchi, Martina Ziami, Camille Dugay Comencini","CINEMA Arena Tiziano
CINEMA Tiziano","21:00
21:00"
