TITOLO,PUNTEGGIO,CONSIGLIATO,GENERE,PAESI,ANNO,"DURATA
(MINUTI)",TRAMA,REGIA,CAST,CINEMA,ORARIO
THE STRAIGHT STORY - UNA STORIA VERA,"4,42",ASSOLUTAMENTE SI,Commedia,"USA, Francia",1999,111,"Lynch trova la summa del suo cinema, calando la singolarità nella quotidianità. Dove il silenzio comunica più di mille parole",David Lynch,"Sissy Spacek, Harry Dean Stanton, Richard Farnsworth, Everett McGill","Casa del Cinema
Teatro all'Aperto Ettore Scola","21:30
21:30"
IL ROBOT SELVAGGIO,"3,96",ASSOLUTAMENTE SI,"Animazione, Avventura, Commedia",USA,2024,102,Una favola sul rapporto tra natura e tecnologia con uno stile di disegno digitale che guarda all'impressionismo,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Catherine O'Hara, Bill Nighy",CINEMA Aura Movies,21:00
PRINCIPESSA MONONOKE,"3,92",ASSOLUTAMENTE SI,Animazione,Giappone,1997,133,Un film avventuroso che spiazza lo spettatore senza perdere coerenza. Il più canonico di Miyazaki,Hayao Miyazaki,"Billy Crudup, Billy Bob Thornton, Minnie Driver, John Di Maggio",CINEMA Madison,21:30
SCIROCCO E IL REGNO DEI VENTI,"3,82",SI,Animazione,"Belgio, Francia",2023,81,Un film d'animazione che regge il confronto con Miyazaki. Affascinando grandi e piccini,Benoît Chieux,N.D.,CINEMA Dei Piccoli,16:30
STILL WALKING - CAMMINANDO IN UN GIORNO D'ESTATE,"3,77",SI,Drammatico,Giappone,2008,114,Il punto più alto di un cinema che ha sempre cercato di raccontare i legami invisibili che uniscono le persone,Kore'eda Hirokazu,"You, Hiroshi Abe, Yoshio Harada, Ryôga Hayashi",CINEMA Greenwich,16:15 | VO: 20:45
LA CASA DALLE FINESTRE CHE RIDONO,"3,76",SI,Giallo,Italia,1976,110,"Un classico del gotico padano diretto da Pupi Avati con originalità, maestria e senso del macabro",Pupi Avati,"Gianni Cavina, Lino Capolicchio, Giulio Pizzirani, Francesca Marciano",CINEMA Troisi,19:00
DIAMANTI GREZZI,"3,74",SI,"Commedia, Drammatico",USA,2019,135,Un trip visivo e sensoriale nella vita caotica di un gioielliere di NYC. Con uno straordinario Adam Sandler,"Benny Safdie, Josh Safdie","Adam Sandler, Lakeith Stanfield, Idina Menzel, Judd Hirsch",Casilino Sky Park - sul Tetto,21:00
UN SEMPLICE INCIDENTE,"3,73",SI,Drammatico,"Iran, Francia, Lussemburgo",2025,101,Un film in cui la denuncia si fa durissima anche quando sceglie la strada dell'ironia,Jafar Panahi,"Vahid Mobasseri, Mariam Afshari, Ebrahim Azizi, Hadis Pakbaten",Eurcine Multisala,18:45
TOY STORY 5,"3,71",SI,"Animazione, Avventura, Commedia","USA, Giappone",2026,102,"Il quinto capitolo rispetta i topos e i personaggi della saga, affrontando le più grandi paure dei bambini: l'abbandono e la solitudine","Andrew Stanton, McKenna Harris","Angelo Maggi, Massimo Dapporto, Ilaria Stagni, Katia Follesa","CINEMA Adriano
CINEMA Andromeda
CINEMA Antares
CINEMA Atlantic
CINEMA Barberini
CINEMA Broadway
CINEMA Cineland
CINEMA Doria
Eurcine Multisala
CINEMA Giulio Cesare
CINEMA Jolly
CINEMA Madison
CINEMA Multisala Lux
Multisala Odeon
CINEMA Savoy
The Screen Cinemas Roma Ottavia
The Space Moderno
The Space Parco de Medici
CINEMA Trianon
Uci Cinemas Parco Leonardo
Uci Cinemas Porta di Roma
Uci Cinemas Roma Est
Uci Luce Maximo","15:00, 16:00, 17:20, 18:20, 19:30, 20:30, 21:40 | VO: 19:00
17:15, 18:10, 18:40, 19:20, 20:45, 21:30 | VO: 21:00
15:30, 17:30, 19:30, 21:30
11:00, 15:00, 16:00, 17:10, 18:00, 19:20, 21:30
VO: 14:30, 17:00, 19:00, 21:00
15:30, 17:20, 17:50, 19:10, 19:40, 21:00
16:00, 17:00, 18:10, 19:15, 20:15, 16:20
15:30, 17:30, 19:30, 21:30
16:15, 18:55, 21:00
16:15, 18:55 | VO: 21:00
17:00, 19:00, 20:00, 22:00
15:30, 16:30, 17:30, 18:30, 19:30, 21:35
16:00, 17:00, 18:10, 19:15, 20:20, 22:30
16:00, 17:00, 18:10, 19:15, 20:20, 22:30
16:00, 18:00, 20:00
16:30, 17:30, 18:45, 21:30
15:40, 17:10, 18:20, 19:00, 19:50, 21:00, 22:30
14:00, 14:05, 15:40, 16:00, 16:30, 17:00, 17:20, 17:55, 18:20, 18:40, 19:00, 19:20, 20:00, 20:45, 21:00, 21:20, 22:00, 22:15, 22:20, 15:15
16:00, 17:00, 18:00, 19:00, 20:00
16:10, 16:30, 17:30, 18:10, 18:40, 19:00, 20:00, 21:20, 22:00 | VO: 19:30, 17:00
14:00, 15:00, 15:40, 16:00, 16:30, 17:30, 18:10, 18:30, 19:00, 20:00, 21:00, 21:20, 22:00 | VO: 19:30, 14:30, 17:00
14:00, 15:00, 15:40, 16:30, 17:30, 18:10, 19:00, 19:30, 20:00, 21:20, 22:00, 14:30, 17:00
11:30, 14:00, 15:00, 15:40, 16:30, 17:30, 19:00, 20:00, 21:20, 22:00, 23:50"
LA VALLE DEI SORRISI,"3,65",SI,Drammatico,"Italia, Slovenia",2025,122,"Tra naturale e soprannaturale, tra sacro e profano. Un'opera originale e intensa",Paolo Strippoli,"Michele Riondino, Giulio Feltri, Paolo Pierobon, Romana Maggiora Vergano",CINEMA Farnese,18:30
IL SILENZIO DEGLI ALTRI,"3,59",SI,Drammatico,Spagna,2025,99,Un film che immerge nelle percezioni della protagonista trovando una completa identificazione tra il suo sguardo e quello della cineasta,Eva Libertad,"Miriam Garlo, Álvaro Cervantes, Elena Irureta, Joaquín Notario",CINEMA Giulio Cesare,"17:00, 19:00 | VO: 21:00"
